key,idx,skill,truth,classified,match,pass,nblobs,narrow_w,b0_w,b0_h,b0_fill,b1_w,b1_h,b1_fill
Zhao,0,basic,12,12,OK,hi,2,48,41,62,0.606,62,62,0.629
Zhao,0,basic,12,12,OK,lo,2,48,43,63,0.628,63,63,0.667
Zhao,0,dodge,10,10,OK,hi,0,48,,,,,,
Zhao,0,dodge,10,10,OK,lo,2,48,39,62,0.598,62,62,0.694
Zhao,0,assist,11,11,OK,hi,0,48,,,,,,
Zhao,0,assist,11,11,OK,lo,2,48,39,62,0.589,39,62,0.597
Zhao,0,special,12,12,OK,hi,2,48,40,62,0.608,67,62,0.597
Zhao,0,special,12,12,OK,lo,2,48,42,63,0.628,69,63,0.629
Zhao,0,chain,11,11,OK,hi,0,48,,,,,,
Zhao,0,chain,11,11,OK,lo,2,48,39,62,0.594,39,62,0.588
Lucia,1,basic,8,8,OK,hi,0,48,,,,,,
Lucia,1,basic,8,8,OK,lo,2,48,63,62,0.714,47,62,0.777
Lucia,1,dodge,1,1,OK,hi,0,48,,,,,,
Lucia,1,dodge,1,1,OK,lo,2,48,64,62,0.711,40,62,0.615
Lucia,1,assist,8,8,OK,hi,0,48,,,,,,
Lucia,1,assist,8,8,OK,lo,2,48,64,62,0.71,64,62,0.702
Lucia,1,special,12,12,OK,hi,2,48,40,62,0.608,67,62,0.597
Lucia,1,special,12,12,OK,lo,2,48,42,63,0.628,69,63,0.629
Lucia,1,chain,11,11,OK,hi,0,48,,,,,,
Lucia,1,chain,11,11,OK,lo,2,48,40,62,0.613,40,62,0.603
YeShunguang,3,basic,12,12,OK,hi,2,48,41,62,0.606,62,62,0.629
YeShunguang,3,basic,12,12,OK,lo,2,48,43,63,0.628,63,63,0.667
YeShunguang,3,dodge,10,10,OK,hi,2,48,37,62,0.59,61,62,0.672
YeShunguang,3,dodge,10,10,OK,lo,2,48,41,63,0.615,64,62,0.727
YeShunguang,3,assist,10,10,OK,hi,2,48,38,62,0.575,61,62,0.674
YeShunguang,3,assist,10,10,OK,lo,2,48,41,62,0.619,64,62,0.731
YeShunguang,3,special,11,11,OK,hi,2,48,38,62,0.57,38,62,0.573
YeShunguang,3,special,11,11,OK,lo,2,48,41,63,0.607,40,63,0.621
YeShunguang,3,chain,11,11,OK,hi,2,48,37,62,0.587,39,62,0.557
YeShunguang,3,chain,11,11,OK,lo,2,48,41,63,0.612,41,63,0.603
JuFufu,4,basic,12,12,OK,hi,2,48,41,62,0.606,62,62,0.629
JuFufu,4,basic,12,12,OK,lo,2,48,43,63,0.628,63,63,0.667
JuFufu,4,dodge,11,11,OK,hi,0,48,,,,,,
JuFufu,4,dodge,11,11,OK,lo,2,48,40,62,0.586,40,62,0.592
JuFufu,4,assist,12,12,OK,hi,2,48,40,62,0.614,66,62,0.605
JuFufu,4,assist,12,12,OK,lo,2,48,42,63,0.637,68,63,0.637
JuFufu,4,special,12,12,OK,hi,2,48,40,62,0.608,67,62,0.597
JuFufu,4,special,12,12,OK,lo,2,48,42,63,0.628,69,63,0.629
JuFufu,4,chain,12,12,OK,hi,2,48,40,62,0.609,66,62,0.606
JuFufu,4,chain,12,12,OK,lo,2,48,41,63,0.645,68,63,0.637
Yixuan,5,basic,12,12,OK,hi,2,48,41,62,0.606,62,62,0.629
Yixuan,5,basic,12,12,OK,lo,2,48,43,63,0.628,63,63,0.667
Yixuan,5,dodge,12,12,OK,hi,2,48,40,62,0.621,65,62,0.61
Yixuan,5,dodge,12,12,OK,lo,2,48,42,63,0.641,67,63,0.643
Yixuan,5,assist,12,12,OK,hi,2,48,40,62,0.614,66,62,0.605
Yixuan,5,assist,12,12,OK,lo,2,48,42,63,0.637,68,63,0.637
Yixuan,5,special,12,12,OK,hi,2,48,40,62,0.608,67,62,0.597
Yixuan,5,special,12,12,OK,lo,2,48,42,63,0.628,69,63,0.629
Yixuan,5,chain,12,12,OK,hi,2,48,40,62,0.609,66,62,0.606
Yixuan,5,chain,12,12,OK,lo,2,48,41,63,0.645,68,63,0.637
Vivian,7,basic,12,12,OK,hi,2,48,41,62,0.606,62,62,0.629
Vivian,7,basic,12,12,OK,lo,2,48,43,63,0.628,63,63,0.667
Vivian,7,dodge,11,11,OK,hi,0,48,,,,,,
Vivian,7,dodge,11,11,OK,lo,2,48,39,62,0.587,38,62,0.605
Vivian,7,assist,11,11,OK,hi,0,48,,,,,,
Vivian,7,assist,11,11,OK,lo,2,48,39,62,0.581,39,62,0.587
Vivian,7,special,11,11,OK,hi,0,48,,,,,,
Vivian,7,special,11,11,OK,lo,2,48,39,62,0.582,39,62,0.585
Vivian,7,chain,11,11,OK,hi,0,48,,,,,,
Vivian,7,chain,11,11,OK,lo,2,48,39,62,0.584,39,62,0.581
Jane,9,basic,12,12,OK,hi,2,48,41,62,0.606,62,62,0.629
Jane,9,basic,12,12,OK,lo,2,48,43,63,0.628,63,63,0.667
Jane,9,dodge,11,11,OK,hi,2,48,38,62,0.573,38,62,0.575
Jane,9,dodge,11,11,OK,lo,2,48,40,62,0.633,41,63,0.616
Jane,9,assist,3,5,MISS,hi,2,48,60,62,0.686,61,62,0.568
Jane,9,assist,3,5,MISS,lo,2,48,64,62,0.732,64,62,0.62
Jane,9,special,12,12,OK,hi,2,48,40,62,0.608,67,62,0.597
Jane,9,special,12,12,OK,lo,2,48,42,63,0.628,69,63,0.629
Jane,9,chain,11,11,OK,hi,2,48,37,62,0.586,39,62,0.556
Jane,9,chain,11,11,OK,lo,2,48,41,63,0.612,41,63,0.603
Miyabi,10,basic,12,12,OK,hi,2,48,41,62,0.606,62,62,0.629
Miyabi,10,basic,12,12,OK,lo,2,48,43,63,0.628,63,63,0.667
Miyabi,10,dodge,11,11,OK,hi,0,48,,,,,,
Miyabi,10,dodge,11,11,OK,lo,2,48,40,62,0.611,40,62,0.619
Miyabi,10,assist,12,12,OK,hi,2,48,40,62,0.614,66,62,0.605
Miyabi,10,assist,12,12,OK,lo,2,48,42,63,0.637,68,63,0.637
Miyabi,10,special,12,12,OK,hi,2,48,40,62,0.608,67,62,0.597
Miyabi,10,special,12,12,OK,lo,2,48,42,63,0.628,69,63,0.629
Miyabi,10,chain,12,12,OK,hi,2,48,40,62,0.609,66,62,0.606
Miyabi,10,chain,12,12,OK,lo,2,48,41,63,0.645,68,63,0.637
Yanagi,11,basic,12,12,OK,hi,2,48,41,62,0.606,62,62,0.629
Yanagi,11,basic,12,12,OK,lo,2,48,43,63,0.628,63,63,0.667
Yanagi,11,dodge,10,10,OK,hi,2,48,37,62,0.573,60,62,0.666
Yanagi,11,dodge,10,10,OK,lo,2,48,41,62,0.622,64,62,0.723
Yanagi,11,assist,11,11,OK,hi,2,48,39,62,0.544,38,62,0.559
Yanagi,11,assist,11,11,OK,lo,2,48,40,63,0.613,41,62,0.619
Yanagi,11,special,12,12,OK,hi,2,48,40,62,0.608,67,62,0.597
Yanagi,11,special,12,12,OK,lo,2,48,42,63,0.628,69,63,0.629
Yanagi,11,chain,11,11,OK,hi,2,48,37,62,0.573,39,62,0.544
